Coverage（X）	raw1 snps	raw2 snps	raw3 snps	raw average snps	clean1 snps	clean2 snps	clean3 snps	clean average snps
5 	176	172	128	158.67 	3	5	2	3.33 
10 	370	368	398	378.67 	6	5	4	5.00 
20 	648	732	662	680.67 	7	6	8	7.00 
30 	1101	1094	1106	1100.33 	6	10	9	9.00 
40 	1394	1403	1396	1397.67 	12	9	11	10.67 
50 	1435	1510	1652	1532.33 	12	12	13	12.33 
60 	1860	1812	1203	1625.00 	15	13	13	13.67 
70 	2153	2088	1696	1979.00 	16	20	13	16.33 
80 	2283	1705	2332	2106.67 	15	17	18	16.67 
90 	2069	2385	2037	2163.67 	20	24	21	21.67 
100 	2781	2385	2781	2649.00 	25	24	25	24.67 
150 	3108	3125	3002	3078.33 	43	32	32	35.67 
200 	3985	4151	3699	3945.00 	70	79	77	75.33 
250 	5208	5488	4807	5167.67 	133	151	118	134.00 
300 	5940	5567	5525	5677.33 	201	167	176	181.33 
400 	6909	6228	7083	6740.00 	360	231	364	318.33 
500 	7946	8088	8348	8127.33 	567	578	601	582.00 
600 	8994	8994	8994	8994.00 	838	838	838	838.00 
700 	9984	9794	9802	9860.00 	1189	1145	1177	1170.33 
870 	10595	10822	10740	10719.00 	1590	1647	1581	1606.00 
1000 	11538	11622	11622	11594.00 	2211	2340	2340	2297.00 
1100 	11817	11817	11817	11817.00 	2572	2572	2572	2572.00 
1450 	12698	12718	12848	12754.67 	3630	3662	3680	
1700 	13255	13282	13360	13299.00 	4555	4688	4618	4620.33 
2100 	13904	13889	13868	13887.00 	5997	6098	6011	6035.33 
2800 	14459	14464	14444	14455.67 	8106	8040	8058	8068.00 
3100 	14608	14615	14611	14611.33 	8726	8804	8743	8757.67 
4100 	14899	14899	14876	14891.33 	10551	10551	10346	10482.67 
